countyName,device_count,distance_traveled_from_home,completely_home_device_count,median_home_dwell_time,part_time_work_behavior_devices,full_time_work_behavior_devices,stateFIPS,countyFIPS,Admin2,FIPS,Lat,Long_,Confirmed,Deaths,Recovered,Active,CTYNAME,SUMLEV,STATE,COUNTY,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
Merced,71.93264478871676,8099.022488755622,28.501360430895662,742.4061441501472,4.200011105558332,10.602129490810151,6.0,6047.0,Merced,6047.0,37.189223689999984,-120.72090350000002,91.16666666666667,3.0,0.0,88.16666666666667,Merced,50.0,6.0,47.0,6.0,9.0,27714.822966507178,13969.80861244019,13745.014354066985,11465.435406698565,11310.937799043062,601.7129186602871,554.1052631578947,344.2105263157895,327.9043062200957,1103.6172248803828,1090.6028708133972,55.578947368421055,46.60287081339713,399.2535885167464,414.8612440191388,11814.88995215311,11675.598086124402,726.0478468899521,685.4832535885167,502.4688995215311,492.44976076555025,1259.531100478469,1251.2344497607655,100.95693779904306,92.06698564593302,5897.531100478469,5979.004784688996,4088.9186602870814,4226.937799043062,474.0287081339713,419.70334928229664,61.04306220095694,60.1244019138756,1014.200956937799,1000.7177033492823,30.13397129186603,25.923444976076556,229.20574162679426,245.5980861244019,4287.693779904306,4441.043062200957,551.3875598086124,503.39712918660285,128.31578947368422,135.91387559808612,1120.3923444976076,1111.1291866028707,59.186602870813395,55.14832535885167,8072.277511961723,7766.00956937799,7376.516746411483,7084.0,127.6842105263158,134.4019138755981,283.1674641148325,267.7799043062201,89.41626794258373,89.88516746411483,25.444976076555022,20.679425837320576,170.04784688995215,169.26315789473685,7527.196172248804,7234.555023923445,174.6602870813397,182.08612440191388,374.1531100478469,356.53588516746413,139.13875598086125,140.10526315789474,41.770334928229666,36.91866028708134
Mono,36.03784679089027,10794.665341614907,14.064679089026916,799.7405383022774,2.1706832298136645,6.0636024844720495,6.0,6051.0,Mono,6051.0,37.93899289,-118.88724090000002,23.666666666666668,1.0,0.0,22.666666666666668,Mono,50.0,6.0,51.0,6.0,9.0,1496.3444976076555,796.2296650717703,700.1148325358852,733.9521531100479,640.6507177033493,6.267942583732057,3.3014354066985647,19.83732057416268,21.38755980861244,11.808612440191387,15.588516746411484,2.660287081339713,1.0909090909090908,21.70334928229665,18.095693779904305,753.4736842105264,657.0813397129186,12.392344497607656,8.813397129186603,28.00956937799043,28.43062200956938,19.99043062200957,21.330143540669855,4.287081339712919,2.6411483253588517,584.0382775119617,509.1578947368421,536.5454545454545,463.24401913875596,5.282296650717703,2.8038277511961724,12.105263157894736,14.61244019138756,11.435406698564593,15.004784688995215,2.583732057416268,0.8803827751196173,16.086124401913874,12.61244019138756,550.8038277511962,474.5645933014354,9.84688995215311,6.77511961722488,17.311004784688997,18.95693779904306,18.516746411483254,19.444976076555022,3.84688995215311,2.1052631578947367,212.19138755980862,190.95693779904306,197.4066985645933,177.4066985645933,0.9856459330143541,0.49760765550239233,7.732057416267943,6.77511961722488,0.37320574162679426,0.583732057416268,0.07655502392344497,0.21052631578947367,5.617224880382775,5.483253588516747,202.66985645933013,182.51674641148324,2.5454545454545454,2.0382775119617227,10.698564593301436,9.473684210526315,1.4736842105263157,1.8851674641148326,0.44019138755980863,0.5358851674641149
Monterey,49.063003957102715,10398.538601823708,20.648873085966624,765.8116304410162,2.671847221425704,6.6169352526237315,6.0,6053.0,Monterey,6053.0,36.21862405000001,-121.2413397,139.5,3.611111111111111,0.0,135.88888888888889,Monterey,50.0,6.0,53.0,6.0,9.0,44834.153110047846,22952.746411483255,21881.406698564595,18977.483253588518,18094.736842105263,980.6985645933014,622.334928229665,621.3397129186603,567.3588516746412,1401.0143540669856,1637.0047846889952,140.48803827751198,131.64593301435406,831.7224880382776,828.3253588516747,19689.703349282296,18803.684210526317,1187.1004784688996,830.0861244019138,915.6363636363636,867.6746411483253,1847.6555023923445,2075.0526315789475,237.37799043062202,232.06698564593302,9664.373205741627,9596.976076555024,7033.626794258374,7109.282296650717,774.7081339712919,421.11961722488036,79.4066985645933,64.05741626794259,1170.0956937799042,1404.8803827751196,107.66507177033493,97.96172248803828,498.8708133971292,499.67464114832535,7457.043062200957,7532.593301435407,905.3875598086124,553.6363636363636,202.65071770334927,194.83253588516746,1478.1913875598086,1705.9617224880383,171.60765550239233,164.9090909090909,13288.373205741627,12284.43062200957,11943.856459330143,10985.454545454546,205.99043062200957,201.2153110047847,541.933014354067,503.30143540669854,230.91866028708134,232.1244019138756,32.822966507177036,33.68421052631579,332.85167464114835,328.6507177033493,12232.66028708134,11271.09090909091,281.7129186602871,276.44976076555025,712.9856459330143,672.8421052631579,369.46411483253587,369.09090909090907,65.77033492822966,67.15789473684211
Napa,39.3347259895358,8576.50394014578,17.197418658165038,789.7587576649655,2.37555438429598,4.999190116854568,6.0,6055.0,Napa,6055.0,38.507357510000006,-122.33283899999999,50.166666666666664,2.0,0.0,48.166666666666664,Napa,50.0,6.0,55.0,6.0,9.0,14627.77033492823,7294.937799043062,7332.832535885167,6229.004784688996,6238.708133971292,183.7224880382775,148.44019138755982,94.16267942583733,88.30622009569377,536.5071770334928,606.8038277511962,27.54066985645933,29.014354066985646,224.0,221.55980861244018,6426.086124401914,6434.306220095694,236.2488038277512,202.07655502392345,175.7511961722488,168.77511961722487,640.8325358851674,709.2057416267943,51.751196172248804,52.803827751196174,4772.267942583732,5000.899521531101,3899.4736842105262,4093.9234449760766,156.73684210526315,120.00956937799043,29.559808612440193,28.086124401913874,507.61722488038276,578.1148325358852,16.880382775119617,19.157894736842106,162.0,161.60765550239233,4042.9282296650717,4236.631578947368,195.0622009569378,159.71291866028707,78.43062200956938,76.3157894736842,592.3923444976076,662.3540669856459,34.60287081339713,37.42583732057416,2522.6698564593303,2331.933014354067,2329.531100478469,2144.784688995215,26.985645933014354,28.43062200956938,64.60287081339713,60.2200956937799,28.88995215311005,28.688995215311003,10.660287081339712,9.85645933014354,62.0,59.952153110047846,2383.157894736842,2197.6746411483255,41.186602870813395,42.36363636363637,97.32057416267942,92.45933014354067,48.44019138755981,46.85167464114833,17.148325358851675,15.37799043062201
Nevada,44.23791973791974,7908.810561549692,17.30887013495709,854.1224228180749,2.7418010896271765,6.189278211017341,6.0,6057.0,Nevada,6057.0,39.30394767999999,-120.7627281,36.22222222222222,1.0,0.0,35.22222222222222,Nevada,50.0,6.0,57.0,6.0,9.0,10397.55023923445,5125.866028708134,5271.684210526316,4819.952153110048,4940.8708133971295,30.88995215311005,21.39712918660287,64.52631578947368,63.55023923444976,57.71291866028708,77.39712918660287,8.047846889952153,8.133971291866029,144.73684210526315,160.33492822966508,4952.822966507177,5087.435406698564,56.4688995215311,49.67464114832536,141.5311004784689,151.3684210526316,104.82296650717703,128.3732057416268,19.69377990430622,20.94736842105263,4639.665071770335,4822.918660287081,4394.966507177033,4549.760765550239,25.38755980861244,17.263157894736842,41.33014354066986,41.88516746411483,52.688995215311,72.27751196172248,5.961722488038277,7.416267942583732,119.33014354066985,134.31578947368422,4504.105263157895,4672.095693779905,46.73684210526316,41.16746411483253,100.60287081339713,111.42583732057416,95.64593301435407,119.42583732057416,15.741626794258373,18.449760765550238,486.20095693779905,448.76555023923447,424.9856459330144,391.1100478468899,5.502392344497608,4.133971291866029,23.196172248803826,21.66507177033493,5.023923444976076,5.119617224880383,2.0861244019138754,0.7177033492822966,25.406698564593302,26.019138755980862,448.7177033492823,415.33971291866027,9.732057416267942,8.507177033492823,40.92822966507177,39.942583732057415,9.177033492822966,8.947368421052632,3.952153110047847,2.4976076555023923
Orange,96.41341305112383,5868.679373980881,45.2030930076414,963.1177248457333,4.456288007161812,13.249211880934872,6.0,6059.0,Orange,6059.0,33.70147515999999,-117.76459980000001,1706.5,31.666666666666668,0.0,1674.8333333333333,Orange,50.0,6.0,59.0,6.0,9.0,326289.6555023923,161204.4976076555,165085.15789473685,119879.42583732058,120872.36363636363,3435.7703349282297,3208.8516746411483,1751.799043062201,1700.5167464114832,30206.995215311006,33383.92344497608,637.3588516746412,620.1148325358852,5293.148325358851,5299.387559808612,124728.13397129187,125712.94736842105,4398.985645933014,4196.545454545455,2926.1244019138758,2920.44019138756,33624.92822966507,36759.82775119617,1206.3062200956938,1204.5837320574162,105524.81339712918,109926.84210526316,68611.72248803827,70101.01435406698,2642.5454545454545,2421.751196172249,330.54545454545456,338.69856459330146,29471.244019138758,32627.473684210527,475.0430622009569,455.8181818181818,3993.712918660287,3982.086124401914,72263.06220095693,73729.66507177033,3360.468899521531,3159.157894736842,966.133971291866,1014.1531100478469,32282.392344497606,35385.674641148325,908.6794258373205,903.6267942583733,55679.68421052631,55158.31578947369,51267.703349282296,50771.34928229665,793.2248803827752,787.1004784688995,1421.2535885167465,1361.8181818181818,735.7511961722488,756.4497607655502,162.31578947368422,164.29665071770336,1299.4354066985645,1317.3014354066986,52465.07177033493,51983.282296650716,1038.5167464114832,1037.3875598086124,1959.9904306220096,1906.2870813397128,1342.5358851674641,1374.153110047847,297.6267942583732,300.9569377990431
Placer,118.71059864714712,6278.4460761347,51.11832101990292,970.7651659876411,5.998313807286692,15.831327121386382,6.0,6061.0,Placer,6061.0,39.06167233999999,-120.72405690000002,134.27777777777777,7.388888888888889,0.0,126.88888888888889,Placer,50.0,6.0,61.0,6.0,9.0,38558.66985645933,18831.837320574163,19726.83253588517,16277.741626794259,16982.88995215311,338.82296650717706,287.35885167464113,205.0622009569378,211.4354066985646,1204.7942583732058,1422.5358851674641,51.08133971291866,48.74641148325359,754.334928229665,773.866028708134,16982.87081339713,17705.55023923445,493.1961722488038,448.9377990430622,428.7368421052632,447.92344497607655,1614.9186602870814,1835.5406698564593,122.22009569377991,121.8468899521531,16254.114832535884,17140.06698564593,14042.775119617225,14739.971291866028,299.377990430622,249.85645933014354,108.17224880382776,117.1866028708134,1155.2631578947369,1367.2344497607655,39.99043062200957,39.39712918660287,608.5358851674641,626.421052631579,14614.124401913876,15327.177033492822,425.2631578947368,383.36842105263156,257.933014354067,278.555023923445,1513.0717703349283,1727.1674641148325,98.07655502392345,98.98564593301435,2577.7224880382773,2586.7655502392345,2234.9665071770337,2242.9186602870814,39.44497607655502,37.50239234449761,96.88995215311004,94.2488038277512,49.5311004784689,55.301435406698566,11.090909090909092,9.349282296650717,145.79904306220095,147.44497607655504,2368.7464114832537,2378.373205741627,67.93301435406698,65.56937799043062,170.80382775119617,169.3684210526316,101.8468899521531,108.37320574162679,24.14354066985646,22.861244019138756
Plumas,31.288458498023715,14529.098972332016,11.806640316205534,722.7924110671937,1.9755731225296442,4.005770750988142,6.0,6063.0,Plumas,6063.0,40.003559890000005,-120.83952360000006,4.0,0.0,0.0,4.0,Plumas,50.0,6.0,63.0,6.0,9.0,2023.0239234449762,1011.0047846889952,1012.0191387559809,922.2966507177033,925.7511961722488,11.68421052631579,8.076555023923445,30.679425837320576,32.48803827751196,8.133971291866029,10.181818181818182,1.7511961722488039,0.7272727272727273,36.45933014354067,34.79425837320574,957.1483253588517,958.6315789473684,20.3444976076555,15.311004784688995,51.72248803827751,53.69377990430622,15.291866028708133,16.832535885167463,3.291866028708134,2.61244019138756,923.4736842105264,930.0956937799043,850.7751196172248,859.1196172248804,11.167464114832535,7.6746411483253585,21.67464114832536,24.00956937799043,7.569377990430622,8.727272727272727,1.69377990430622,0.7081339712918661,30.593301435406698,29.85645933014354,879.9617224880383,887.2153110047847,18.057416267942585,13.808612440191387,39.177033492822964,42.0,14.076555023923445,14.708133971291867,3.090909090909091,2.4401913875598087,87.5311004784689,81.92344497607655,71.52153110047847,66.63157894736842,0.5167464114832536,0.4019138755980861,9.004784688995215,8.47846889952153,0.5645933014354066,1.4545454545454546,0.05741626794258373,0.019138755980861243,5.866028708133971,4.937799043062201,77.1866028708134,71.41626794258373,2.287081339712919,1.5023923444976077,12.545454545454545,11.69377990430622,1.215311004784689,2.124401913875598,0.20095693779904306,0.1722488038277512
Riverside,108.98065193810855,8793.92113692885,48.32515743400981,879.520040288881,5.33666491387172,14.724308217559956,6.0,6065.0,Riverside,6065.0,33.74314980999999,-115.99335779999998,2789.0,87.72222222222223,0.0,2701.277777777778,Riverside,50.0,6.0,65.0,6.0,9.0,241931.07177033494,120401.04306220096,121530.02870813398,97517.92344497607,97582.76555023923,8540.296650717703,8530.344497607655,2268.3253588516745,2251.8373205741627,7560.727272727273,8574.64114832536,519.8851674641148,518.0095693779904,3993.885167464115,4072.4306220095696,101067.27272727272,101191.75119617225,9950.535885167465,10000.124401913876,3499.684210526316,3544.3253588516745,9323.598086124402,10332.545454545454,913.6842105263158,918.688995215311,63103.72248803828,64743.11004784689,45299.17703349282,46027.425837320574,7394.478468899521,7276.277511961723,590.1435406698564,602.3923444976076,6860.574162679426,7842.507177033493,347.52153110047846,332.8612440191388,2611.8277511961724,2661.645933014354,47593.818181818184,48357.97129186603,8362.21052631579,8284.88995215311,1179.0047846889952,1243.6172248803828,8176.650717703349,9143.559808612441,620.0095693779904,609.933014354067,57297.32057416268,56786.91866028708,52218.746411483255,51555.33971291866,1145.8181818181818,1254.066985645933,1678.1818181818182,1649.4449760765551,700.1531100478469,732.133971291866,172.36363636363637,185.14832535885168,1382.0574162679425,1410.7846889952152,53473.454545454544,52833.77990430622,1588.3253588516745,1715.2344497607655,2320.6794258373207,2300.7081339712918,1146.9473684210527,1188.9856459330144,293.67464114832535,308.75598086124404
Sacramento,74.43092177682941,6755.875325577063,32.66042100628292,858.3749987298684,3.7241494352148217,9.72022726887839,6.0,6067.0,Sacramento,6067.0,38.45106826000001,-121.34253740000001,934.5555555555555,35.388888888888886,0.0,899.1666666666666,Sacramento,50.0,6.0,67.0,6.0,9.0,154503.53110047846,75551.68421052632,78951.84688995215,49164.296650717704,50888.6985645933,8247.387559808612,8623.846889952154,1186.6985645933014,1212.2105263157894,11605.435406698565,12585.818181818182,889.9521531100479,953.9138755980862,4457.913875598086,4687.358851674641,52868.153110047846,54759.645933014355,10025.521531100478,10525.368421052632,2455.712918660287,2596.8516746411483,13766.411483253589,14812.995215311004,1409.4354066985645,1511.5502392344497,58176.53588516746,61780.67942583732,35175.24401913876,37222.516746411486,7463.253588516746,7763.148325358851,398.6124401913876,438.50717703349284,11063.502392344497,12030.803827751197,780.2775119617224,846.7846889952153,3295.645933014354,3478.9186602870814,37878.01913875598,40057.29186602871,8807.655502392345,9205.971291866028,1144.9952153110048,1284.3349282296651,12797.31100478469,13814.870813397129,1186.0574162679425,1284.0861244019138,17375.148325358852,17171.16746411483,13989.052631578947,13666.181818181818,784.133971291866,860.6985645933014,788.0861244019138,773.7033492822967,541.933014354067,555.0143540669857,109.67464114832536,107.12918660287082,1162.267942583732,1208.4401913875597,14990.133971291865,14702.354066985647,1217.866028708134,1319.3971291866028,1310.7177033492824,1312.5167464114832,969.1004784688995,998.1244019138755,223.37799043062202,227.4641148325359
