countyName,device_count,distance_traveled_from_home,completely_home_device_count,median_home_dwell_time,part_time_work_behavior_devices,full_time_work_behavior_devices,stateFIPS,countyFIPS,Admin2,FIPS,Lat,Long_,Confirmed,Deaths,Recovered,Active,CTYNAME,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
Dorchester,48.43748417053609,6012.56606162938,18.170789362600253,649.5945124525116,3.019501899535669,4.394512452511608,24.0,24019.0,Dorchester,24019.0,38.454135220000005,-76.02752426000004,28.166666666666668,1.3333333333333333,0.0,26.833333333333332,Dorchester,9.0,3415.866028708134,1629.1387559808613,1786.7272727272727,1124.066985645933,1201.4354066985645,447.49282296650716,521.4545454545455,6.660287081339713,8.373205741626794,16.086124401913874,20.679425837320576,0.861244019138756,0.4688995215311005,33.97129186602871,34.31578947368421,1155.33014354067,1232.3923444976076,468.9569377990431,543.6842105263158,16.411483253588518,18.363636363636363,20.995215311004785,25.607655502392344,2.45933014354067,2.325358851674641,1553.6267942583731,1710.0095693779904,1066.5358851674641,1145.1674641148325,436.53588516746413,507.6555023923445,4.631578947368421,6.143540669856459,15.655502392344498,20.248803827751196,0.6794258373205742,0.3062200956937799,29.588516746411482,30.48803827751196,1093.6555023923445,1172.6315789473683,455.8755980861244,527.7894736842105,12.325358851674642,14.555023923444976,20.076555023923444,24.60287081339713,2.1148325358851676,2.0,75.51196172248804,76.7177033492823,57.5311004784689,56.26794258373206,10.956937799043063,13.799043062200957,2.028708133971292,2.229665071770335,0.430622009569378,0.430622009569378,0.18181818181818182,0.16267942583732056,4.382775119617225,3.827751196172249,61.67464114832536,59.760765550239235,13.08133971291866,15.894736842105264,4.086124401913875,3.8086124401913874,0.9186602870813397,1.0047846889952152,0.3444976076555024,0.3253588516746411
Frederick,73.35635037458532,6143.03333919195,35.3726739459982,833.0225520135334,3.2395258914251817,6.26862490937452,24.0,24021.0,Frederick,24021.0,39.472966010000015,-77.39999394000003,637.5,32.0,0.0,605.5,Frederick,9.0,25467.856459330145,12542.555023923445,12925.301435406698,10427.77990430622,10735.56937799043,1192.9473684210527,1195.4066985645934,59.014354066985646,57.282296650717704,520.9377990430622,579.6076555023924,10.363636363636363,10.688995215311005,331.511961722488,346.7464114832536,10733.09090909091,11053.856459330143,1367.8755980861245,1387.3205741626793,128.0956937799043,133.1196172248804,643.2057416267943,701.3301435406698,22.9377990430622,23.435406698564595,11456.631578947368,11891.588516746411,9503.885167464116,9861.205741626794,1118.0765550239234,1126.133971291866,27.741626794258373,27.54066985645933,509.49282296650716,566.5263157894736,6.62200956937799,6.631578947368421,290.8133971291866,303.55023923444975,9772.64114832536,10141.043062200957,1270.4497607655503,1293.6172248803828,81.62679425837321,86.8133971291866,623.311004784689,679.1578947368421,17.339712918660286,17.263157894736842,1085.9234449760766,1033.7129186602872,923.8947368421053,874.3636363636364,74.87081339712918,69.27272727272727,31.272727272727273,29.741626794258373,11.444976076555024,13.08133971291866,3.7416267942583734,4.057416267942584,40.698564593301434,43.196172248803826,960.4497607655502,912.8133971291866,97.42583732057416,93.70334928229666,46.4688995215311,46.30622009569378,19.894736842105264,22.172248803827753,5.598086124401914,6.172248803827751
Garrett,73.67364299216851,7087.259181744532,29.36166621658115,807.0822306238185,4.242100999189846,8.150553605184985,24.0,24023.0,Garrett,24023.0,39.52786076999999,-79.27355125999999,4.0,0.0,0.0,4.0,Garrett,9.0,3132.3636363636365,1552.7272727272727,1579.6363636363637,1514.4401913875597,1548.488038277512,20.784688995215312,10.277511961722489,2.0956937799043063,3.0047846889952154,3.1578947368421053,7.2631578947368425,0.10526315789473684,0.0,12.14354066985646,10.602870813397129,1525.2918660287082,1557.9617224880383,26.45933014354067,15.607655502392344,6.784688995215311,6.822966507177034,5.827751196172249,9.69377990430622,1.1483253588516746,0.7081339712918661,1538.133971291866,1564.88995215311,1500.7368421052631,1534.7368421052631,20.3444976076555,10.248803827751196,2.0382775119617227,2.430622009569378,3.138755980861244,7.244019138755981,0.10526315789473684,0.0,11.770334928229666,10.229665071770334,1511.2535885167465,1543.9043062200958,25.84688995215311,15.320574162679426,6.535885167464115,6.124401913875598,5.751196172248804,9.617224880382775,1.138755980861244,0.6698564593301436,14.5933014354067,14.746411483253588,13.703349282296651,13.751196172248804,0.44019138755980863,0.028708133971291867,0.05741626794258373,0.5741626794258373,0.019138755980861243,0.019138755980861243,0.0,0.0,0.37320574162679426,0.37320574162679426,14.038277511961722,14.057416267942584,0.6124401913875598,0.28708133971291866,0.24880382775119617,0.6985645933014354,0.07655502392344497,0.07655502392344497,0.009569377990430622,0.03827751196172249
Harford,106.22573548555064,5938.596485290289,50.30659984379068,899.416597240302,4.5255532413434,9.462015100234314,24.0,24025.0,Harford,24025.0,39.55010644000001,-76.30775940000004,239.33333333333334,6.055555555555555,0.0,233.27777777777777,Harford,9.0,26164.258373205743,12798.842105263158,13365.416267942584,10413.799043062201,10778.105263157895,1681.244019138756,1820.0382775119617,39.84688995215311,38.76555023923445,329.70334928229664,392.9377990430622,13.732057416267942,11.665071770334928,320.51674641148327,323.9043062200957,10699.11961722488,11063.77033492823,1863.7607655502393,2013.2344497607655,115.02392344497608,117.22488038277513,436.7464114832536,495.5693779904306,28.14354066985646,25.894736842105264,12252.832535885167,12862.956937799043,9982.765550239234,10395.751196172248,1618.4784688995214,1753.1483253588517,28.42105263157895,27.550239234449762,323.82775119617224,386.26794258373207,9.866028708133971,8.813397129186603,289.4736842105263,291.42583732057415,10240.64114832536,10652.755980861244,1783.3205741626793,1927.4545454545455,92.07655502392345,93.72248803827752,424.7368421052632,483.0047846889952,22.33492822966507,21.04306220095694,546.0095693779904,502.4593301435407,431.0334928229665,382.35406698564594,62.76555023923445,66.88995215311004,11.425837320574162,11.21531100478469,5.875598086124402,6.669856459330144,3.8660287081339715,2.851674641148325,31.04306220095694,32.47846889952153,458.47846889952154,411.0143540669856,80.4401913875598,85.77990430622009,22.94736842105263,23.502392344497608,12.009569377990431,12.564593301435407,5.8086124401913874,4.851674641148326
Howard,116.70159937567837,6055.3064558086135,61.44042482575506,993.2549582440057,4.192095514033782,9.152716606417236,24.0,24027.0,Howard,24027.0,39.253052929999996,-76.93126207999997,571.7777777777778,12.88888888888889,0.0,558.8888888888889,Howard,9.0,31921.980861244017,15637.54066985646,16284.440191387559,9661.397129186604,9768.947368421053,2769.531100478469,3156.4306220095696,69.10047846889952,63.23444976076555,2575.799043062201,2714.2392344497607,11.138755980861244,11.090909090909092,550.5741626794259,570.4976076555024,10147.473684210527,10262.526315789473,3047.244019138756,3459.55980861244,182.92822966507177,189.89473684210526,2829.732057416268,2967.349282296651,30.210526315789473,33.12918660287081,14606.803827751197,15295.693779904306,8860.411483253589,9008.622009569379,2668.44019138756,3050.7655502392345,29.205741626794257,28.650717703349283,2560.4114832535884,2698.4593301435407,6.899521531100478,7.952153110047847,481.4354066985646,501.24401913875596,9285.167464114833,9441.397129186604,2908.976076555024,3315.4162679425835,116.38277511961722,128.9377990430622,2796.4593301435407,2933.1004784688994,22.497607655502392,26.14354066985646,1030.7368421052631,988.7464114832536,800.9856459330143,760.3253588516747,101.0909090909091,105.66507177033493,39.89473684210526,34.58373205741627,15.38755980861244,15.779904306220097,4.239234449760765,3.138755980861244,69.13875598086125,69.2535885167464,862.3062200956938,821.1291866028708,138.26794258373207,144.14354066985646,66.54545454545455,60.95693779904306,33.27272727272727,34.248803827751196,7.712918660287081,6.985645933014354
Kent,54.34751026423834,12923.30024213075,22.02558164017265,639.3386672281292,2.9987367091272765,5.867354458364038,24.0,24029.0,Kent,24029.0,39.249762079999996,-76.04741541,37.666666666666664,1.6111111111111112,0.0,36.05555555555556,Kent,9.0,2091.8564593301435,997.4258373205741,1094.4306220095693,819.7703349282297,888.7464114832536,147.51196172248802,170.60287081339712,3.3205741626794256,2.248803827751196,9.330143540669857,13.014354066985646,0.5645933014354066,0.44019138755980863,16.928229665071772,19.37799043062201,835.5311004784689,906.6794258373205,158.74641148325358,183.10047846889952,7.330143540669856,6.688995215311005,11.980861244019138,16.593301435406698,1.4162679425837321,1.4354066985645932,944.0574162679426,1056.0,776.3827751196172,858.8229665071771,142.3444976076555,166.0956937799043,1.4545454545454546,1.263157894736842,8.516746411483254,11.712918660287082,0.3827751196172249,0.14354066985645933,14.976076555023923,17.961722488038276,790.2870813397129,875.4066985645933,152.39234449760767,177.73205741626793,4.976076555023924,5.253588516746412,10.870813397129186,15.10047846889952,1.0909090909090908,1.062200956937799,53.36842105263158,38.430622009569376,43.38755980861244,29.923444976076556,5.167464114832536,4.507177033492823,1.8660287081339713,0.9856459330143541,0.8133971291866029,1.3014354066985645,0.18181818181818182,0.2966507177033493,1.9521531100478469,1.4162679425837321,45.24401913875598,31.272727272727273,6.354066985645933,5.368421052631579,2.354066985645933,1.4354066985645932,1.1100478468899522,1.492822966507177,0.3253588516746411,0.37320574162679426
Montgomery,75.90486665718785,5388.395420645992,40.940111760618734,966.6105225600318,2.7418238495979996,6.0371766359678185,24.0,24031.0,Montgomery,24031.0,39.13676328999999,-77.20358244999998,2790.1666666666665,120.22222222222223,0.0,2669.9444444444443,Montgomery,9.0,106549.7033492823,51341.1004784689,55208.602870813396,32574.66028708134,33953.167464114835,9256.344497607655,10725.617224880383,383.35885167464113,361.9043062200957,7430.124401913876,8371.35885167464,52.44976076555024,53.196172248803826,1644.1626794258373,1743.358851674641,34010.33492822966,35448.17224880383,10008.382775119617,11586.248803827752,739.5598086124402,759.933014354067,8259.607655502392,9212.114832535884,126.80382775119617,137.7799043062201,41485.14832535885,45546.55502392344,24151.196172248805,25757.358851674642,8593.511961722488,10014.325358851675,82.7464114832536,95.27272727272727,7316.909090909091,8248.918660287081,22.526315789473685,26.669856459330145,1318.2583732057417,1404.0095693779904,25295.004784688994,26950.430622009568,9173.655502392345,10686.411483253589,311.89473684210526,363.98086124401914,8045.397129186603,8984.45933014354,82.37320574162679,96.18181818181819,9855.952153110047,9662.047846889953,8423.464114832535,8195.80861244019,662.8325358851674,711.2918660287081,300.6124401913876,266.63157894736844,113.2153110047847,122.4401913875598,29.923444976076556,26.526315789473685,325.9043062200957,339.3492822966507,8715.33014354067,8497.741626794259,834.7272727272727,899.8373205741627,427.6650717703349,395.95215311004785,214.21052631578948,227.6555023923445,44.430622009569376,41.59808612440192
Prince George's,83.04264889197957,8157.500493809807,39.32918064561471,792.5182191775755,3.4486789200545966,7.636855596696098,24.0,24033.0,Prince George's,24033.0,38.83070038999998,-76.84964409999999,3740.0,125.33333333333333,0.0,3614.6666666666665,Prince George's,9.0,93485.07177033492,44937.703349282296,48547.36842105263,12903.588516746411,11734.564593301435,28271.406698564595,32885.29186602871,543.8468899521531,458.1818181818182,1996.153110047847,2123.6363636363635,89.33971291866028,81.6555023923445,1133.3684210526317,1264.0382775119617,13734.545454545454,12629.751196172248,29113.31100478469,33867.09090909091,971.4832535885167,961.3875598086124,2310.555023923445,2460.4497607655503,139.7224880382775,141.71291866028707,36575.26315789474,41447.5023923445,6533.004784688996,6489.196172248804,27167.58851674641,31782.612440191388,110.98564593301435,123.54066985645933,1910.8803827751196,2046.248803827751,16.90909090909091,23.875598086124402,835.8947368421053,982.0287081339712,7118.813397129186,7153.368421052632,27794.153110047846,32551.263157894737,394.72727272727275,492.1244019138756,2169.004784688995,2328.133971291866,56.25837320574163,71.90430622009569,8362.440191387559,7099.866028708134,6370.5837320574165,5245.368421052632,1103.8181818181818,1102.6794258373207,432.8612440191388,334.64114832535887,85.27272727272727,77.38755980861244,72.43062200956938,57.7799043062201,297.4736842105263,282.00956937799043,6615.732057416268,5476.382775119617,1319.157894736842,1315.8277511961724,576.755980861244,469.2631578947368,141.55023923444975,132.31578947368422,83.46411483253588,69.80861244019138
Queen Anne's,121.1411325939739,8232.233977819216,51.411914810089314,780.7857002649916,5.8807537540484836,11.910344489154971,24.0,24035.0,Queen Anne's,24035.0,39.06198912000001,-76.03530976999998,32.888888888888886,1.9444444444444444,0.0,30.944444444444443,Queen Anne's,9.0,5124.057416267942,2544.334928229665,2579.7224880382773,2289.062200956938,2318.8325358851675,172.31578947368422,172.91866028708134,11.301435406698564,10.277511961722489,24.650717703349283,32.1244019138756,1.5885167464114833,1.492822966507177,45.41626794258373,44.07655502392345,2331.8277511961724,2359.885167464115,195.71291866028707,196.0287081339713,22.172248803827753,20.95693779904306,37.81818181818182,45.04306220095694,3.311004784688995,3.4545454545454546,2450.937799043062,2496.315789473684,2210.334928229665,2247.885167464115,167.23444976076556,168.4019138755981,6.679425837320574,6.6124401913875595,22.42105263157895,31.014354066985646,0.7368421052631579,0.6507177033492823,43.5311004784689,41.751196172248804,2251.444976076555,2286.813397129187,189.66507177033492,190.16267942583733,16.794258373205743,16.382775119617225,35.16746411483253,43.60765550239235,2.354066985645933,2.478468899521531,93.39712918660287,83.4066985645933,78.72727272727273,70.94736842105263,5.08133971291866,4.516746411483253,4.62200956937799,3.665071770334928,2.229665071770335,1.1100478468899522,0.8516746411483254,0.8421052631578947,1.8851674641148326,2.325358851674641,80.38277511961722,73.07177033492823,6.047846889952153,5.866028708133971,5.37799043062201,4.574162679425838,2.650717703349282,1.4354066985645932,0.9569377990430622,0.9760765550239234
Somerset,51.93440649917256,12305.345569429817,19.74559951857981,615.5739431322401,3.0045133142771174,6.1135850759741235,24.0,24039.0,Somerset,24039.0,38.11635420000001,-75.75118623000002,11.277777777777779,0.05555555555555555,0.0,11.222222222222221,Somerset,9.0,2740.066985645933,1472.6602870813397,1267.4066985645934,766.6794258373205,721.1866028708134,660.0861244019138,501.74162679425837,6.889952153110048,4.679425837320574,10.947368421052632,10.880382775119617,0.7368421052631579,0.6028708133971292,27.320574162679424,28.31578947368421,789.866028708134,745.311004784689,678.3253588516747,522.2200956937799,15.08133971291866,12.889952153110048,15.69377990430622,15.358851674641148,2.172248803827751,1.8851674641148326,1425.799043062201,1219.8851674641148,732.4306220095693,686.1626794258373,652.334928229665,492.72727272727275,5.6650717703349285,4.363636363636363,10.61244019138756,10.717703349282298,0.3349282296650718,0.27751196172248804,24.42105263157895,25.636363636363637,753.0813397129186,707.8564593301436,668.6507177033493,511.57894736842104,12.832535885167465,11.473684210526315,14.909090909090908,14.813397129186603,1.674641148325359,1.4832535885167464,46.86124401913876,47.52153110047847,34.248803827751196,35.02392344497608,7.751196172248804,9.014354066985646,1.2248803827751196,0.3157894736842105,0.3349282296650718,0.16267942583732056,0.4019138755980861,0.3253588516746411,2.8995215311004783,2.6794258373205744,36.78468899521531,37.45454545454545,9.674641148325358,10.641148325358852,2.248803827751196,1.4162679425837321,0.784688995215311,0.5454545454545454,0.49760765550239233,0.4019138755980861
