countyName,device_count,distance_traveled_from_home,completely_home_device_count,median_home_dwell_time,part_time_work_behavior_devices,full_time_work_behavior_devices,delivery_behavior_devices,median_non_home_dwell_time,candidate_device_count,median_percentage_time_home,mean_home_dwell_time,mean_non_home_dwell_time,mean_distance_traveled_from_home,stateFIPS,countyFIPS,Admin2,FIPS,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio,CTYNAME,SUMLEV,STATE,COUNTY,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
Colbert,149.87901861252115,3191.7547546531305,34.07516074450085,726.1455499153976,14.07560067681895,5.483045685279188,6.02263959390863,154.26737732656514,277.6544839255499,77.23424703891709,684.4544839255499,324.70258641527676,9425.763161711386,1.0,1033.0,Colbert,1033.0,34.69847452,-87.80168543999997,90.06896551724138,2.0,0.0,88.06896551724138,298.6911895150341,1.2121212121212122,Colbert,50.0,1.0,33.0,6.0,9.0,5736.813397129186,2757.282296650718,2979.531100478469,2248.1435406698565,2397.004784688995,430.0287081339713,500.39234449760767,17.272727272727273,16.181818181818183,12.564593301435407,16.00956937799043,1.4354066985645932,1.5119617224880382,47.83732057416268,48.430622009569376,2293.2918660287082,2442.4784688995214,455.0622009569378,525.1866028708134,37.751196172248804,37.74162679425837,17.272727272727273,20.74641148325359,2.8421052631578947,3.0239234449760763,2683.9904306220096,2921.1004784688994,2187.751196172249,2349.186602870813,424.066985645933,495.0717703349282,14.555023923444976,15.110047846889952,11.980861244019138,15.502392344497608,1.1100478468899522,1.1961722488038278,44.526315789473685,45.03349282296651,2229.9808612440193,2391.645933014354,447.2822966507177,518.1148325358852,33.52153110047847,35.282296650717704,16.382775119617225,19.789473684210527,2.277511961722488,2.401913875598086,73.29186602870813,58.430622009569376,60.39234449760765,47.81818181818182,5.961722488038277,5.320574162679426,2.7177033492822966,1.0717703349282297,0.583732057416268,0.507177033492823,0.3253588516746411,0.3157894736842105,3.311004784688995,3.397129186602871,63.311004784689,50.83253588516747,7.779904306220096,7.07177033492823,4.229665071770335,2.45933014354067,0.8899521531100478,0.9569377990430622,0.5645933014354066,0.6220095693779905
Conecuh,63.4232741617357,5420.296844181459,14.825246548323472,591.5122287968442,5.381854043392505,1.9564102564102563,1.9676528599605523,142.21676528599605,129.13589743589745,74.45917159763313,608.8021978021978,292.86672302056917,13854.28627782474,1.0,1035.0,Conecuh,1035.0,31.434017029999982,-86.99320043999995,18.724137931034484,0.3103448275862069,0.0,18.413793103448278,314.90842794397946,2.631578947368421,Conecuh,50.0,1.0,35.0,6.0,9.0,1353.244019138756,651.9425837320574,701.3014354066986,349.1674641148325,347.98086124401914,290.6507177033493,341.0622009569378,3.0813397129186604,2.382775119617225,0.6507177033492823,1.5215311004784688,0.15311004784688995,0.1339712918660287,8.239234449760765,8.220095693779903,356.38277511961724,355.311004784689,294.9282296650718,345.5311004784689,6.880382775119617,5.779904306220096,1.9712918660287082,2.8229665071770333,0.631578947368421,0.3923444976076555,639.1196172248804,692.1913875598086,341.7129186602871,342.9952153110048,286.9377990430622,338.0956937799043,3.0334928229665072,2.382775119617225,0.5645933014354066,1.5023923444976077,0.04784688995215311,0.1339712918660287,6.822966507177034,7.08133971291866,347.70334928229664,349.311004784689,290.41148325358853,341.8755980861244,6.086124401913875,5.368421052631579,1.6555023923444976,2.6411483253588517,0.3444976076555024,0.3157894736842105,12.822966507177034,9.110047846889952,7.454545454545454,4.985645933014354,3.712918660287081,2.9665071770334928,0.04784688995215311,0.0,0.0861244019138756,0.019138755980861243,0.10526315789473684,0.0,1.4162679425837321,1.138755980861244,8.679425837320574,6.0,4.516746411483253,3.6555023923444976,0.7942583732057417,0.41148325358851673,0.3157894736842105,0.18181818181818182,0.28708133971291866,0.07655502392344497
Coosa,79.48755555555556,7886.078666666666,16.525333333333332,638.5328888888889,6.887111111111111,3.1746666666666665,3.488888888888889,170.47955555555555,140.4177777777778,72.14666666666666,628.5422222222222,335.51428571428573,15652.790476190476,1.0,1037.0,Coosa,1037.0,32.93690145999997,-86.24847739000005,32.6551724137931,1.0,0.0,31.655172413793103,356.37250304792275,2.631578947368421,Coosa,50.0,1.0,37.0,6.0,9.0,1181.2727272727273,594.755980861244,586.5167464114833,397.64593301435406,388.1913875598086,185.8181818181818,185.51196172248802,4.076555023923445,2.7559808612440193,0.430622009569378,1.263157894736842,0.7368421052631579,1.0717703349282297,6.047846889952153,7.722488038277512,403.05263157894734,394.8995215311005,188.5071770334928,189.0909090909091,7.110047846889952,6.535885167464115,1.138755980861244,2.277511961722488,1.2057416267942584,1.6555023923444976,580.6602870813397,575.5885167464115,389.5406698564593,382.01913875598086,183.4928229665072,183.64593301435406,2.3923444976076556,2.124401913875598,0.22009569377990432,1.263157894736842,0.0,0.019138755980861243,5.014354066985646,6.516746411483253,394.14354066985646,387.9043062200957,185.66507177033492,186.7177033492823,4.947368421052632,5.244019138755981,0.861244019138756,2.0956937799043063,0.23923444976076555,0.27751196172248804,14.095693779904305,10.92822966507177,8.105263157894736,6.172248803827751,2.325358851674641,1.8660287081339713,1.6842105263157894,0.631578947368421,0.21052631578947367,0.0,0.7368421052631579,1.0526315789473684,1.0334928229665072,1.2057416267942584,8.909090909090908,6.9952153110047846,2.8421052631578947,2.373205741626794,2.1626794258373208,1.291866028708134,0.27751196172248804,0.18181818181818182,0.9665071770334929,1.3779904306220097
Covington,108.45598845598846,3845.619576719577,22.91183261183261,668.0893698893699,10.781818181818181,3.5397306397306396,4.6061087061087065,179.3844636844637,204.82260702260703,74.32361712361713,650.148766577338,334.52573352573353,13143.139283996426,1.0,1039.0,Covington,1039.0,31.247785399999998,-86.45050893000003,56.89655172413793,1.0,0.0,55.89655172413793,207.8328699829955,1.2987012987012987,Covington,50.0,1.0,39.0,6.0,9.0,3959.1483253588517,1913.3971291866028,2045.751196172249,1630.6985645933014,1729.9138755980862,232.33492822966508,266.20095693779905,12.870813397129186,11.980861244019138,8.660287081339712,9.205741626794259,0.05741626794258373,0.14354066985645933,28.77511961722488,28.30622009569378,1658.2775119617224,1756.88995215311,246.8133971291866,280.90909090909093,25.80861244019139,24.650717703349283,11.148325358851675,11.502392344497608,0.6220095693779905,0.7464114832535885,1883.1196172248804,2017.4832535885168,1606.9665071770335,1706.8133971291866,229.39712918660288,263.86602870813397,11.272727272727273,10.296650717703349,8.038277511961722,8.851674641148325,0.019138755980861243,0.10526315789473684,27.425837320574164,27.550239234449762,1633.2631578947369,1733.1483253588517,243.16746411483254,278.0956937799043,23.617224880382775,22.650717703349283,10.411483253588516,11.043062200956937,0.507177033492823,0.6411483253588517,30.27751196172249,28.267942583732058,23.732057416267942,23.10047846889952,2.937799043062201,2.334928229665072,1.5980861244019138,1.6842105263157894,0.6220095693779905,0.35406698564593303,0.03827751196172249,0.03827751196172249,1.3492822966507176,0.7559808612440191,25.014354066985646,23.741626794258373,3.645933014354067,2.813397129186603,2.1913875598086126,2.0,0.7368421052631579,0.45933014354066987,0.11483253588516747,0.10526315789473684
Crenshaw,145.48152610441767,5583.544979919679,30.899397590361446,737.6895582329317,13.861646586345381,4.839558232931727,5.340763052208835,163.2397590361446,259.5939759036145,77.39397590361446,689.5022948938612,315.0588066551922,13097.927710843374,1.0,1041.0,Crenshaw,1041.0,31.72941803000001,-86.31593103999998,46.310344827586206,1.103448275862069,0.0,45.206896551724135,530.0609933197793,4.109589041095891,Crenshaw,50.0,1.0,41.0,6.0,9.0,1461.0047846889952,708.9282296650717,752.0765550239234,522.0861244019138,541.1196172248804,159.73205741626793,185.38755980861245,3.5311004784688995,3.9138755980861246,10.870813397129186,9.320574162679426,0.5167464114832536,0.2966507177033493,12.191387559808613,12.038277511961722,533.4736842105264,552.4114832535885,167.20574162679426,192.1818181818182,7.971291866028708,8.631578947368421,12.009569377990431,10.583732057416269,0.8133971291866029,0.49760765550239233,694.6602870813397,740.9665071770335,510.3349282296651,532.2870813397129,158.8421052631579,184.1244019138756,3.416267942583732,3.712918660287081,10.344497607655502,9.21531100478469,0.05741626794258373,0.009569377990430622,11.665071770334928,11.617224880382775,521.244019138756,543.2057416267943,166.00956937799043,190.69856459330143,7.607655502392345,8.200956937799043,11.444976076555024,10.430622009569378,0.3349282296650718,0.19138755980861244,14.267942583732058,11.110047846889952,11.751196172248804,8.832535885167465,0.8899521531100478,1.263157894736842,0.11483253588516747,0.20095693779904306,0.5263157894736842,0.10526315789473684,0.45933014354066987,0.28708133971291866,0.5263157894736842,0.42105263157894735,12.229665071770334,9.205741626794259,1.1961722488038278,1.4832535885167464,0.36363636363636365,0.430622009569378,0.5645933014354066,0.15311004784688995,0.4784688995215311,0.3062200956937799
Cullman,148.0545108573987,4109.288896351019,31.425386165211552,741.1883143049026,14.550548466532348,6.168054622789344,5.899776136109246,177.92433400492502,265.1543541526752,75.87114394448176,685.5114010681506,335.5377210655921,12189.59768460776,1.0,1043.0,Cullman,1043.0,34.13020302999998,-86.86888037,70.13793103448276,0.0,0.0,70.13793103448276,136.09015375799828,0.0,Cullman,50.0,1.0,43.0,6.0,9.0,8556.870813397129,4229.502392344498,4327.368421052632,4076.602870813397,4175.205741626794,56.08612440191388,45.942583732057415,25.435406698564595,25.339712918660286,18.555023923444978,27.72248803827751,2.2200956937799043,2.708133971291866,50.60287081339713,50.44976076555024,4124.7655502392345,4222.918660287081,71.38755980861244,61.119617224880386,57.71291866028708,57.464114832535884,24.239234449760765,33.464114832535884,3.8660287081339715,4.354066985645933,4033.511961722488,4158.516746411483,3897.818181818182,4018.6315789473683,49.961722488038276,42.803827751196174,21.760765550239235,21.645933014354068,17.559808612440193,27.177033492822968,1.3397129186602872,1.9138755980861244,45.07177033492823,46.344497607655505,3940.813397129187,4062.6411483253587,62.73684210526316,55.88516746411483,50.76555023923445,51.52153110047847,22.669856459330145,32.3732057416268,2.708133971291866,3.3205741626794256,195.99043062200957,168.85167464114832,178.7846889952153,156.57416267942583,6.124401913875598,3.138755980861244,3.674641148325359,3.6937799043062203,0.9952153110047847,0.5454545454545454,0.8803827751196173,0.7942583732057417,5.5311004784688995,4.105263157894737,183.95215311004785,160.2775119617225,8.650717703349283,5.23444976076555,6.947368421052632,5.942583732057416,1.569377990430622,1.0909090909090908,1.1578947368421053,1.0334928229665072
Dale,90.71391812865497,4668.460175438597,23.81719298245614,653.1609356725146,7.486140350877193,2.8398830409356726,3.6421637426900584,118.43964912280701,196.53280701754386,79.48491228070175,646.4620718462824,295.28253968253966,14519.462071846283,1.0,1045.0,Dale,1045.0,31.430371229999995,-85.61095741999999,59.3448275862069,0.0,0.0,59.3448275862069,215.5698364923127,0.0,Dale,50.0,1.0,45.0,6.0,9.0,5237.655502392345,2585.6555023923447,2652.0,1984.9760765550238,1953.090909090909,483.4354066985646,556.4401913875598,23.1866028708134,19.196172248803826,21.282296650717704,43.004784688995215,3.3588516746411483,4.105263157894737,69.41626794258373,76.16267942583733,2047.6459330143541,2021.2918660287082,516.133971291866,593.8947368421053,49.14832535885167,47.70334928229665,38.688995215311,61.43540669856459,7.607655502392345,9.033492822966506,2421.3588516746413,2505.751196172249,1849.598086124402,1833.2248803827752,471.35885167464113,545.5215311004785,18.0,16.74641148325359,20.172248803827753,41.78947368421053,2.7177033492822966,3.272727272727273,59.51196172248804,65.19617224880383,1903.6746411483255,1891.7703349282297,499.67464114832535,577.5885167464115,38.985645933014354,40.40191387559808,35.63636363636363,57.79904306220096,6.172248803827751,6.9952153110047846,164.29665071770336,146.2488038277512,135.37799043062202,119.86602870813397,12.076555023923445,10.91866028708134,5.186602870813397,2.449760765550239,1.1100478468899522,1.215311004784689,0.6411483253588517,0.8325358851674641,9.904306220095695,10.966507177033494,143.9712918660287,129.52153110047846,16.45933014354067,16.30622009569378,10.16267942583732,7.301435406698564,3.0526315789473686,3.6363636363636362,1.4354066985645932,2.0382775119617227
Dallas,72.13755458515284,3764.599029597283,20.956768558951964,584.3177583697234,5.4043668122270745,2.317224648229015,2.6767103347889374,99.18830664725861,170.11397379912663,79.80155264434741,620.5801621958827,274.72336591113884,12616.079850280723,1.0,1047.0,Dallas,1047.0,32.32688100999999,-87.10866709999996,140.20689655172413,3.0,0.0,137.20689655172413,685.5575868372944,1.1764705882352942,Dallas,50.0,1.0,47.0,6.0,9.0,4398.8421052631575,2033.2248803827752,2365.6172248803828,605.6076555023924,653.1770334928229,1395.0143540669856,1681.4066985645934,6.354066985645933,3.952153110047847,10.555023923444976,8.62200956937799,1.0334928229665072,0.5645933014354066,14.660287081339712,17.894736842105264,618.5071770334928,668.3923444976076,1404.2583732057417,1692.9952153110048,11.090909090909092,9.933014354066986,12.669856459330143,11.444976076555024,2.0382775119617227,1.6267942583732058,2010.688995215311,2348.5454545454545,592.9186602870814,645.2344497607655,1387.8086124401914,1674.0,5.177033492822966,3.7033492822966507,10.181818181818182,8.258373205741627,0.4880382775119617,0.5645933014354066,14.114832535885167,16.784688995215312,605.2822966507177,659.4354066985646,1396.7751196172248,1685.0239234449762,9.674641148325358,9.272727272727273,12.210526315789474,10.851674641148325,1.4736842105263157,1.5215311004784688,22.535885167464116,17.071770334928228,12.688995215311005,7.942583732057416,7.205741626794258,7.4066985645933014,1.1770334928229664,0.24880382775119617,0.37320574162679426,0.36363636363636365,0.5454545454545454,0.0,0.5454545454545454,1.1100478468899522,13.224880382775119,8.956937799043063,7.483253588516747,7.971291866028708,1.4162679425837321,0.6602870813397129,0.45933014354066987,0.5933014354066986,0.5645933014354066,0.10526315789473684
DeKalb,108.68542283645937,4698.93988153998,24.181375452451466,672.1468575189207,9.211154985192497,3.7256663376110564,4.313524185587364,162.57410332346166,212.16788417242515,75.5353734781178,644.3378931039346,330.5497579090866,12787.06472993936,1.0,1049.0,DeKalb,1049.0,34.459468620000024,-85.80782905999999,171.51724137931035,2.3793103448275863,0.0,169.13793103448276,339.7983583404416,1.2345679012345678,DeKalb,50.0,1.0,49.0,6.0,9.0,7488.851674641149,3704.650717703349,3784.200956937799,3435.129186602871,3515.4354066985647,67.62679425837321,67.66507177033493,77.23444976076556,78.02870813397129,15.52153110047847,15.913875598086124,29.52153110047847,25.464114832535884,79.61722488038278,81.69377990430623,3509.913875598086,3591.665071770335,85.33014354066985,84.77511961722487,135.74162679425837,139.54066985645932,21.502392344497608,22.076555023923444,33.20574162679426,29.483253588516746,3151.7894736842104,3285.511961722488,2974.1052631578946,3098.784688995215,54.36363636363637,55.282296650717704,43.49282296650718,48.248803827751196,10.392344497607656,11.023923444976077,2.1052631578947367,1.7511961722488039,67.33014354066985,70.42105263157895,3039.2631578947367,3166.287081339713,69.08133971291866,69.10047846889952,93.12918660287082,102.05741626794259,15.272727272727273,16.0,3.444976076555024,3.5789473684210527,552.8612440191388,498.688995215311,461.02392344497605,416.6507177033493,13.263157894736842,12.382775119617225,33.74162679425837,29.779904306220097,5.1291866028708135,4.889952153110048,27.416267942583733,23.71291866028708,12.287081339712918,11.272727272727273,470.6507177033493,425.377990430622,16.248803827751196,15.674641148325358,42.61244019138756,37.483253588516746,6.229665071770335,6.076555023923445,29.760765550239235,25.904306220095695
Elmore,189.53192789489765,5199.386037274671,43.787901008249314,769.2531316834708,18.690681332111215,8.78041552092881,6.463397494653224,164.6815765352887,332.9670638557898,77.37134127711579,703.2408013617912,335.3920824058313,12109.20540351796,1.0,1051.0,Elmore,1051.0,32.59785412999998,-86.14415284000005,189.3793103448276,5.172413793103448,0.0,184.20689655172413,397.7391668411137,2.1671826625387,Elmore,50.0,1.0,51.0,6.0,9.0,8469.13875598086,4114.306220095694,4354.832535885167,3126.4497607655503,3346.0478468899523,878.8708133971292,881.6555023923445,20.057416267942585,18.258373205741627,24.966507177033492,34.18181818181818,4.698564593301436,5.0047846889952154,59.26315789473684,69.6842105263158,3180.717703349282,3409.732057416268,906.688995215311,913.9425837320574,42.57416267942584,46.47846889952153,38.63157894736842,50.18181818181818,7.454545454545454,8.535885167464114,3998.6985645933014,4233.531100478469,3030.373205741627,3244.0765550239234,870.6985645933014,872.4593301435407,16.0,14.851674641148325,24.076555023923444,33.22488038277512,3.0239234449760763,3.3684210526315788,54.526315789473685,65.55023923444976,3080.3636363636365,3304.133971291866,896.3157894736842,902.7464114832536,36.29665071770335,41.20574162679426,37.03349282296651,48.3732057416268,5.2727272727272725,6.4688995215311005,115.60765550239235,121.30143540669856,96.07655502392345,101.97129186602871,8.17224880382775,9.196172248803828,4.057416267942584,3.4066985645933014,0.8899521531100478,0.9569377990430622,1.674641148325359,1.6363636363636365,4.7368421052631575,4.133971291866029,100.35406698564593,105.59808612440192,10.373205741626794,11.196172248803828,6.277511961722488,5.2727272727272725,1.5980861244019138,1.8086124401913874,2.1818181818181817,2.0669856459330145
