countyName,device_count,distance_traveled_from_home,completely_home_device_count,median_home_dwell_time,part_time_work_behavior_devices,full_time_work_behavior_devices,stateFIPS,countyFIPS,Admin2,FIPS,Lat,Long_,Confirmed,Deaths,Recovered,Active,CTYNAME,SUMLEV,STATE,COUNTY,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
Union,90.086302713305,11896.168355671789,24.05197777051324,585.2448512585812,6.526969597907813,13.303040209218699,12.0,12125.0,Union,12125.0,30.04412971,-82.37497443000001,2.888888888888889,0.0,0.0,2.888888888888889,Union,50.0,12.0,125.0,6.0,9.0,1612.7081339712918,1044.688995215311,568.0191387559809,727.6363636363636,482.72727272727275,296.8038277511962,67.60765550239235,3.7320574162679425,3.645933014354067,4.411483253588517,2.5933014354066986,0.3827751196172249,0.03827751196172249,11.722488038277511,11.4066985645933,738.6507177033493,493.2822966507177,304.3444976076555,74.75598086124401,6.851674641148326,6.976076555023924,5.7990430622009566,4.086124401913875,0.9186602870813397,0.5933014354066986,984.688995215311,544.0574162679426,675.5502392344498,464.0861244019139,290.555023923445,64.18181818181819,3.272727272727273,2.9952153110047846,4.267942583732057,2.488038277511962,0.3253588516746411,0.03827751196172249,10.717703349282298,10.267942583732058,685.6267942583733,473.58851674641147,297.5598086124402,70.82296650717703,6.028708133971292,5.7894736842105265,5.5311004784688995,3.799043062200957,0.7942583732057417,0.5358851674641149,60.0,23.961722488038276,52.08612440191388,18.641148325358852,6.248803827751196,3.425837320574163,0.45933014354066987,0.6507177033492823,0.14354066985645933,0.10526315789473684,0.05741626794258373,0.0,1.0047846889952152,1.138755980861244,53.02392344497608,19.69377990430622,6.784688995215311,3.9330143540669855,0.8229665071770335,1.186602870813397,0.2679425837320574,0.28708133971291866,0.12440191387559808,0.05741626794258373
Volusia,137.31948608137046,18428.342891723303,54.09439530769947,701.4756586909971,7.924215622381529,15.438404245414766,12.0,12127.0,Volusia,12127.0,29.05858895,-81.18263251999998,342.44444444444446,12.222222222222221,0.0,330.22222222222223,Volusia,50.0,12.0,127.0,6.0,9.0,53715.167464114835,26205.052631578947,27510.114832535884,22266.555023923444,23261.32057416268,2837.885167464115,3094.4497607655503,119.16746411483254,116.10526315789474,451.0622009569378,504.39234449760767,20.966507177033492,17.36842105263158,509.4162679425837,516.4784688995215,22735.043062200955,23734.076555023923,3114.0095693779904,3376.2966507177034,279.11961722488036,286.4306220095694,583.9234449760766,636.5645933014354,45.186602870813395,40.08612440191388,22905.7990430622,24167.454545454544,19351.406698564595,20318.153110047846,2632.870813397129,2868.8612440191387,73.70334928229666,75.52153110047847,428.91866028708137,479.8468899521531,12.5933014354067,9.655502392344498,406.3062200956938,415.4162679425837,19723.712918660287,20696.392344497606,2844.2966507177034,3087.1196172248806,198.42105263157896,210.98564593301435,543.7703349282297,594.0,31.760765550239235,27.205741626794257,3299.2535885167463,3342.66028708134,2915.1483253588517,2943.1674641148325,205.01435406698565,225.58851674641147,45.464114832535884,40.58373205741627,22.14354066985646,24.545454545454547,8.373205741626794,7.712918660287081,103.11004784688996,101.0622009569378,3011.3301435406697,3037.684210526316,269.7129186602871,289.17703349282294,80.69856459330144,75.44497607655502,40.15311004784689,42.56459330143541,13.425837320574162,12.880382775119617
Wakulla,228.0902942572378,9439.30090175605,81.94909824394874,838.6135500711913,16.298647365923113,27.483388704318937,12.0,12129.0,Wakulla,12129.0,30.165489050000005,-84.39895211,16.11111111111111,1.0555555555555556,0.0,15.055555555555555,Wakulla,50.0,12.0,129.0,6.0,9.0,3297.531100478469,1809.8755980861245,1487.6555023923445,1431.1961722488038,1287.9234449760766,322.3636363636364,148.8421052631579,13.110047846889952,10.430622009569378,7.913875598086125,11.83732057416268,1.6076555023923444,1.062200956937799,33.68421052631579,27.559808612440193,1462.3349282296651,1313.157894736842,338.94736842105266,162.6602870813397,26.038277511961724,21.05263157894737,13.645933014354068,16.593301435406698,3.38755980861244,2.478468899521531,1737.3205741626793,1444.5837320574162,1370.153110047847,1251.6842105263158,316.50717703349284,145.73205741626793,11.578947368421053,9.464114832535886,7.435406698564593,11.502392344497608,1.3971291866028708,0.6028708133971292,30.248803827751196,25.598086124401913,1398.2296650717703,1275.177033492823,331.35885167464113,158.4976076555024,23.0622009569378,19.291866028708135,12.602870813397129,15.933014354066986,2.8995215311004783,1.9043062200956937,72.55502392344498,43.07177033492823,61.04306220095694,36.239234449760765,5.856459330143541,3.110047846889952,1.5311004784688995,0.9665071770334929,0.4784688995215311,0.3349282296650718,0.21052631578947367,0.45933014354066987,3.4354066985645932,1.9617224880382775,64.10526315789474,37.98086124401914,7.588516746411483,4.162679425837321,2.9760765550239237,1.7607655502392345,1.0430622009569377,0.6602870813397129,0.4880382775119617,0.5741626794258373
Walton,146.19730276121504,92668.23046805026,50.83916370243366,632.6833687335261,8.242853852649896,21.790925608414156,12.0,12131.0,Walton,12131.0,30.642040279999996,-86.16935663999999,32.22222222222222,0.0,0.0,32.22222222222222,Walton,50.0,12.0,131.0,6.0,9.0,6378.468899521531,3245.7894736842104,3132.6794258373207,2886.976076555024,2838.306220095694,212.48803827751198,145.07177033492823,29.51196172248804,26.4688995215311,29.827751196172247,41.21531100478469,6.009569377990431,5.138755980861244,80.97607655502392,76.47846889952153,2963.6076555023924,2910.468899521531,236.55502392344496,168.55502392344496,70.48803827751196,64.622009569378,48.65071770334928,59.5311004784689,8.91866028708134,7.942583732057416,3038.6411483253587,2970.593301435407,2707.8755980861242,2696.507177033493,205.79904306220095,140.76555023923444,25.550239234449762,23.54066985645933,28.29665071770335,39.89473684210526,2.411483253588517,2.2392344497607657,68.70813397129187,67.64593301435407,2773.1387559808613,2760.650717703349,226.0956937799043,160.86124401913875,59.1578947368421,56.75598086124402,45.32057416267943,56.83253588516747,4.660287081339713,4.516746411483253,207.14832535885168,162.08612440191388,179.10047846889952,141.79904306220095,6.688995215311005,4.30622009569378,3.9617224880382773,2.9282296650717705,1.5311004784688995,1.3205741626794258,3.598086124401914,2.8995215311004783,12.267942583732058,8.832535885167465,190.4688995215311,149.8181818181818,10.45933014354067,7.69377990430622,11.330143540669857,7.866028708133971,3.3301435406698565,2.6985645933014353,4.258373205741627,3.425837320574163
Washington,96.20233572534121,9640.45265231462,26.60278598564795,776.5571971295906,8.643872238637963,13.781483044885324,12.0,12133.0,Washington,12133.0,30.613592590000003,-85.66002460999997,8.166666666666666,0.0,0.0,8.166666666666666,Washington,50.0,12.0,133.0,6.0,9.0,2594.200956937799,1409.751196172249,1184.4497607655503,1100.9856459330144,993.2822966507177,251.64593301435406,139.27272727272728,18.660287081339714,16.45933014354067,6.057416267942584,8.535885167464114,1.3588516746411483,2.325358851674641,31.04306220095694,24.574162679425836,1126.1722488038276,1015.5502392344498,268.26794258373207,151.67464114832535,33.38755980861244,26.392344497607656,10.650717703349283,12.287081339712918,3.1770334928229667,3.8086124401913874,1356.468899521531,1151.2057416267942,1057.2153110047848,967.1483253588517,247.93301435406698,135.93301435406698,16.507177033492823,15.110047846889952,5.7894736842105265,8.31578947368421,0.7751196172248804,2.1818181818181817,28.248803827751196,22.516746411483254,1080.0956937799042,987.5406698564593,263.2248803827751,147.25358851674642,29.875598086124402,24.220095693779903,9.808612440191387,11.741626794258373,2.325358851674641,3.5598086124401913,53.282296650717704,33.24401913875598,43.770334928229666,26.13397129186603,3.712918660287081,3.339712918660287,2.15311004784689,1.3492822966507176,0.2679425837320574,0.22009569377990432,0.583732057416268,0.14354066985645933,2.7942583732057416,2.0574162679425836,46.07655502392345,28.00956937799043,5.043062200956938,4.421052631578948,3.511961722488038,2.172248803827751,0.8421052631578947,0.5454545454545454,0.8516746411483254,0.24880382775119617
