countyName,device_count,distance_traveled_from_home,completely_home_device_count,median_home_dwell_time,part_time_work_behavior_devices,full_time_work_behavior_devices,delivery_behavior_devices,median_non_home_dwell_time,candidate_device_count,median_percentage_time_home,mean_home_dwell_time,mean_non_home_dwell_time,mean_distance_traveled_from_home,stateFIPS,countyFIPS,Admin2,FIPS,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio,CTYNAME,SUMLEV,STATE,COUNTY,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
Davis,151.72239019064415,3235.624489795918,48.71153103216595,778.9185689090451,12.105106240026874,6.0493995128915765,4.002569916855631,63.50999412110523,336.6324514991182,88.12477534223567,724.9694657404408,245.27038116834035,11529.138501961632,49.0,49011.0,Davis,49011.0,40.99001837,-112.11399970000001,359.82758620689657,2.0,0.0,357.82758620689657,125.74511717925851,0.44742729306487694,Davis,50.0,49.0,11.0,6.0,9.0,34201.004784688994,17214.602870813396,16986.401913875598,15997.866028708135,15790.593301435407,263.9617224880383,202.21052631578948,119.54066985645933,107.4066985645933,282.32535885167465,375.30143540669854,128.69856459330143,113.45454545454545,422.2105263157895,397.4354066985646,16394.765550239234,16165.856459330143,380.7464114832536,310.0382775119617,218.16267942583733,202.39234449760767,485.52153110047846,568.9952153110048,203.37799043062202,181.47368421052633,15644.622009569379,15480.133971291865,14620.43062200957,14457.282296650717,228.55502392344496,168.5933014354067,67.99043062200957,63.80861244019139,259.9712918660287,354.6507177033493,119.08133971291866,103.22488038277513,348.5933014354067,332.57416267942585,14948.794258373206,14771.818181818182,322.3636363636364,256.8325358851675,132.77511961722487,127.97129186602871,439.4066985645933,526.5071770334928,185.01435406698565,164.0,1569.9808612440193,1506.267942583732,1377.4354066985645,1333.311004784689,35.4066985645933,33.61722488038278,51.55023923444976,43.59808612440192,22.354066985645932,20.650717703349283,9.617224880382775,10.229665071770334,73.61722488038278,64.86124401913875,1445.9712918660287,1394.0382775119617,58.38277511961722,53.20574162679426,85.38755980861244,74.42105263157895,46.11483253588517,42.48803827751196,18.363636363636363,17.473684210526315
Salt Lake,144.9283777719959,4046.219286040189,48.09381327843075,656.5177339864327,10.2087881838784,5.353209123783452,3.6101878980531454,52.1967820148795,399.78872121479503,81.90325870956308,663.9177534650959,235.33206742190404,14545.030136772302,49.0,49035.0,Salt Lake,49035.0,40.66616531999998,-111.92160109999998,3707.5172413793102,51.758620689655174,0.0,3655.7586206896553,430.3551162191485,1.4217060472567082,Salt Lake,50.0,49.0,35.0,6.0,9.0,113754.71770334928,57138.27751196172,56616.44019138756,50600.19138755981,50263.83732057416,1239.2822966507176,972.2200956937799,760.066985645933,734.688995215311,2117.9234449760766,2277.186602870813,950.3157894736842,927.933014354067,1470.4976076555024,1440.5741626794259,51953.65550239234,51601.71291866029,1646.1435406698565,1363.2727272727273,1172.1435406698565,1150.4401913875597,2693.7033492822966,2844.354066985646,1253.6363636363637,1206.2775119617224,46823.397129186604,46834.44976076555,41381.253588516745,41508.124401913876,1005.5598086124402,757.0717703349283,360.0861244019139,376.5645933014354,2033.33014354067,2193.684210526316,894.6507177033493,867.444976076555,1148.5167464114832,1131.5598086124403,42433.760765550236,42558.19138755981,1315.77990430622,1056.6315789473683,610.8421052631579,629.8086124401914,2532.066985645933,2685.9808612440193,1161.578947368421,1116.3540669856459,10314.88038277512,9781.990430622009,9218.937799043062,8755.712918660287,233.7224880382775,215.14832535885168,399.98086124401914,358.1244019138756,84.5933014354067,83.50239234449761,55.665071770334926,60.48803827751196,321.98086124401914,309.0143540669856,9519.894736842105,9043.521531100478,330.3636363636364,306.64114832535887,561.3014354066986,520.6315789473684,161.63636363636363,158.3732057416268,92.05741626794259,89.92344497607655
San Juan,37.972247360482655,9863.88717948718,13.024283559577677,344.74871794871797,3.180995475113122,1.4720965309200604,1.2542986425339366,67.28808446455506,119.36410256410257,76.9473604826546,497.93794440853264,233.36630036630038,13093.755656108597,49.0,49037.0,San Juan,49037.0,37.62762978,-109.80337139999997,186.41379310344828,3.3793103448275863,0.0,183.0344827586207,1868.304154690358,1.7482517482517483,San Juan,50.0,49.0,37.0,6.0,9.0,1584.4306220095693,793.444976076555,790.9856459330143,379.08133971291863,369.33014354066984,2.851674641148325,1.7320574162679425,389.7607655502392,400.44976076555025,3.1004784688995217,5.062200956937799,0.7272727272727273,0.19138755980861244,17.923444976076556,14.220095693779903,394.8708133971292,382.39234449760767,6.3349282296650715,4.784688995215311,402.1244019138756,410.41148325358853,5.55023923444976,6.535885167464115,2.6698564593301435,1.2057416267942584,751.3492822966507,752.4019138755981,351.7894736842105,344.85167464114835,2.535885167464115,1.4736842105263157,376.7368421052632,389.08133971291863,3.0526315789473686,4.660287081339713,0.7272727272727273,0.19138755980861244,16.507177033492823,12.14354066985646,366.25837320574163,355.9617224880383,5.435406698564593,3.875598086124402,388.4019138755981,397.6650717703349,5.3875598086124405,5.961722488038277,2.5454545454545454,1.1578947368421053,42.09569377990431,38.58373205741627,27.291866028708135,24.47846889952153,0.3157894736842105,0.2583732057416268,13.023923444976077,11.368421052631579,0.04784688995215311,0.4019138755980861,0.0,0.0,1.4162679425837321,2.076555023923445,28.61244019138756,26.43062200956938,0.8995215311004785,0.9090909090909091,13.722488038277511,12.746411483253588,0.16267942583732056,0.5741626794258373,0.12440191387559808,0.04784688995215311
Summit,50.399552395997894,5493.666429699842,15.793206951026857,689.0073986308583,3.4126119010005267,1.9185360716166404,1.4657187993680885,65.50513428120063,112.81242759347025,88.74086361242759,664.6959301888212,266.7042428345746,14771.48995712029,49.0,49043.0,Summit,49043.0,40.86688146000004,-110.9535882,393.6896551724138,0.0,0.0,393.6896551724138,977.5774113180687,0.0,Summit,50.0,49.0,43.0,6.0,9.0,4070.8325358851675,2089.186602870813,1981.6459330143541,2002.7751196172248,1890.267942583732,17.913875598086126,14.133971291866029,10.574162679425838,10.727272727272727,27.550239234449762,33.196172248803826,2.9569377990430623,3.2344497607655502,27.416267942583733,30.086124401913874,2028.6602870813397,1919.043062200957,23.339712918660286,20.105263157894736,20.019138755980862,20.688995215311003,39.73205741626794,46.4688995215311,5.368421052631579,5.952153110047847,1846.3062200956938,1756.4976076555024,1778.5741626794259,1681.3971291866028,12.009569377990431,10.708133971291867,4.698564593301436,5.502392344497608,25.80861244019139,31.406698564593302,2.277511961722488,2.210526315789474,22.9377990430622,25.272727272727273,1800.1052631578948,1705.4449760765551,16.239234449760765,15.320574162679426,11.435406698564593,12.669856459330143,37.33971291866029,44.066985645933016,4.535885167464115,4.746411483253588,242.8803827751196,225.14832535885168,224.20095693779905,208.87081339712918,5.904306220095694,3.425837320574163,5.875598086124402,5.22488038277512,1.7416267942583732,1.7894736842105263,0.6794258373205742,1.0239234449760766,4.478468899521531,4.813397129186603,228.55502392344496,213.5980861244019,7.100478468899522,4.784688995215311,8.583732057416269,8.019138755980862,2.3923444976076556,2.401913875598086,0.8325358851674641,1.2057416267942584
Tooele,176.05381697486962,4221.117923186344,56.122427690848745,751.0820768136558,14.47425320056899,7.008392603129446,5.0803698435277385,70.13655761024182,368.7868183973447,86.25557136083452,708.5750186276503,251.81135270608954,12759.505114136693,49.0,49045.0,Tooele,49045.0,40.44862644,-113.12957150000007,90.96551724137932,0.0,0.0,90.96551724137932,172.98883184101638,0.0,Tooele,50.0,49.0,45.0,6.0,9.0,6511.607655502392,3286.6411483253587,3224.9665071770337,3108.66028708134,3055.8947368421054,30.976076555023923,22.535885167464116,41.655502392344495,38.2200956937799,21.129186602870814,26.784688995215312,17.330143540669855,13.942583732057416,66.88995215311004,67.58851674641149,3171.062200956938,3119.1100478468898,48.08612440191388,39.6267942583732,68.75598086124401,65.96172248803828,40.63157894736842,46.49760765550239,26.48803827751196,22.822966507177032,2887.2344497607655,2849.885167464115,2745.9617224880385,2716.7464114832537,26.8133971291866,18.31578947368421,28.0,23.933014354066987,17.492822966507177,24.62200956937799,16.89952153110048,12.937799043062201,52.066985645933016,53.33014354066986,2794.0478468899523,2766.315789473684,40.66985645933014,32.08612440191388,46.00956937799043,43.20574162679426,34.57416267942584,41.952153110047846,25.04306220095694,20.870813397129186,399.4066985645933,375.08133971291863,362.69856459330146,339.14832535885165,4.162679425837321,4.220095693779904,13.655502392344498,14.287081339712918,3.6363636363636362,2.1626794258373208,0.430622009569378,1.0047846889952152,14.822966507177034,14.258373205741627,377.0143540669856,352.79425837320576,7.416267942583732,7.54066985645933,22.74641148325359,22.75598086124402,6.057416267942584,4.545454545454546,1.444976076555024,1.9521531100478469
Utah,101.20507034656359,3774.561495932036,31.36785184519261,722.6196610778982,8.433707915674024,4.09322605295096,3.117988942329303,81.35470850002247,223.10437362340988,85.40851350743921,692.8564979515303,266.0904280595405,12208.748429934629,49.0,49049.0,Utah,49049.0,40.11667220000002,-111.66576619999994,1441.896551724138,11.793103448275861,0.0,1430.103448275862,287.00087231919025,0.9309967141292442,Utah,50.0,49.0,49.0,6.0,9.0,58632.44976076555,29522.976076555024,29109.473684210527,27650.258373205743,27273.444976076556,229.93301435406698,182.45933014354068,243.2153110047847,228.33492822966508,417.1387559808612,501.39712918660285,269.6555023923445,227.73205741626793,712.7751196172248,696.1052631578947,28319.99043062201,27930.995215311006,367.444976076555,316.4976076555024,410.622009569378,396.47846889952154,721.4258373205741,801.5693779904307,492.04784688995215,432.5263157894737,26170.105263157893,25896.71770334928,24606.784688995216,24357.244019138758,175.51196172248802,128.51674641148324,135.66507177033492,135.4928229665072,395.30143540669854,479.70334928229664,254.69856459330143,212.45933014354068,602.1435406698564,583.3014354066986,25172.555023923444,24908.813397129186,286.3349282296651,235.5311004784689,251.27272727272728,248.28708133971293,669.2344497607655,748.3540669856459,458.3349282296651,400.3062200956938,3352.870813397129,3212.755980861244,3043.4736842105262,2916.200956937799,54.421052631578945,53.942583732057415,107.55023923444976,92.84210526315789,21.83732057416268,21.69377990430622,14.956937799043063,15.272727272727273,110.63157894736842,112.80382775119617,3147.4354066985647,3022.181818181818,81.11004784688996,80.96650717703349,159.34928229665073,148.19138755980862,52.19138755980861,53.21531100478469,33.71291866028708,32.2200956937799
Wasatch,149.56673427991888,2434.367207572684,50.36855983772819,729.2688979039892,12.173766058147397,5.508992562542258,3.513995943204868,64.76815415821501,356.9053414469236,89.94523326572008,691.8968414952187,258.42354872983674,13129.151840046363,49.0,49051.0,Wasatch,49051.0,40.33110236000001,-111.16914189999993,201.68965517241378,1.0,0.0,200.68965517241378,777.3312604499721,0.37735849056603776,Wasatch,50.0,49.0,51.0,6.0,9.0,2867.511961722488,1459.090909090909,1408.421052631579,1400.9760765550238,1354.7464114832535,9.444976076555024,6.133971291866029,12.0,11.090909090909092,12.775119617224881,14.47846889952153,3.416267942583732,1.6172248803827751,20.47846889952153,20.354066985645932,1419.9425837320575,1373.7894736842106,14.16267942583732,10.31578947368421,20.88995215311005,20.43062200956938,19.291866028708135,20.861244019138756,5.837320574162679,3.875598086124402,1261.4736842105262,1222.909090909091,1222.9377990430621,1185.0239234449762,5.70334928229665,3.923444976076555,4.363636363636363,3.9904306220095696,10.545454545454545,13.23444976076555,2.8803827751196174,1.492822966507177,15.043062200956937,15.24401913875598,1236.7464114832535,1199.2248803827752,9.090909090909092,7.090909090909091,10.0,10.009569377990431,16.124401913875598,18.688995215311003,4.909090909090909,3.5311004784688995,197.61722488038276,185.51196172248802,178.03827751196172,169.7224880382775,3.7416267942583734,2.210526315789474,7.636363636363637,7.100478468899522,2.229665071770335,1.244019138755981,0.5358851674641149,0.12440191387559808,5.435406698564593,5.110047846889952,183.19617224880383,174.5645933014354,5.07177033492823,3.22488038277512,10.889952153110048,10.421052631578947,3.1674641148325358,2.172248803827751,0.9282296650717703,0.3444976076555024
